id;placed_date;status;code;invoice_id;customer
1;2019-07-21T10:27:26;PENDING;paradigms Home;34507;deposit Canadian Dollar Lebanon
2;2019-07-21T00:35:45;PENDING;Ergonomic transmitter;36778;invoice withdrawal
3;2019-07-20T22:29:02;CANCELLED;Argentine Peso;85835;neural-net red
4;2019-07-20T18:16:30;COMPLETED;Sausages;69093;synthesize Creative
5;2019-07-21T08:02:31;PENDING;Fiji Dollar Profound Bacon;98216;Borders content-based
6;2019-07-20T11:25:57;CANCELLED;Human deposit;33902;cross-media
7;2019-07-20T17:55:11;PENDING;bypassing Marketing;78534;New Zealand Dollar Alabama transform
8;2019-07-20T12:46:46;COMPLETED;Latvia;69189;invoice Devolved
9;2019-07-20T18:15:01;COMPLETED;Fish;36646;program alarm
10;2019-07-21T03:56:57;COMPLETED;dedicated Persevering;97301;target Human withdrawal
